task_id,epoch,evaluation_exact_match_mean,evaluation_exact_match_std,train_loss_mean,validation_loss_mean,learning_rate_mean,checkpoint_epoch_mean,best_evaluation_epoch_mean,reported_iid_accuracy_mean
S1.2_sort,30,0.402,0.035503,0.008502,0.613507,0.005,15.6,30.4,0.312
S1.2_sort,31,0.398667,0.029257,0.007092,0.614384,0.0045,15.6,30.4,0.312
S1.2_sort,32,0.404,0.024258,0.00611,0.619711,0.0045,15.6,30.4,0.312
S1.2_sort,33,0.403333,0.032796,0.005501,0.627227,0.004,15.6,30.4,0.312
S1.2_sort,34,0.400667,0.026111,0.005087,0.629153,0.004,15.6,30.4,0.312
S1.2_sort,35,0.402667,0.027358,0.004754,0.635619,0.0035,15.6,30.4,0.312
S1.2_sort,36,0.4,0.028829,0.004466,0.636243,0.0035,15.6,30.4,0.312
S1.2_sort,37,0.400667,0.026026,0.004252,0.640771,0.0035,15.6,30.4,0.312
S1.2_sort,38,0.396,0.024891,0.004059,0.643473,0.0035,15.6,30.4,0.312
S1.2_sort,39,0.400667,0.028394,0.003874,0.648511,0.0035,15.6,30.4,0.312
S1.2_sort,40,0.396,0.025768,0.003699,0.650016,0.003,15.6,30.4,0.312
S1.2_sort,41,0.397333,0.028705,0.003549,0.653772,0.003,15.6,30.4,0.312
S1.2_sort,42,0.397333,0.023981,0.003426,0.656405,0.003,15.6,30.4,0.312
S1.2_sort,43,0.396,0.023982,0.003316,0.660038,0.003,15.6,30.4,0.312
S1.2_sort,44,0.397333,0.027439,0.003203,0.66109,0.0025,15.6,30.4,0.312
S1.2_sort,45,0.395333,0.029635,0.003097,0.663547,0.0025,15.6,30.4,0.312
S1.2_sort,46,0.400667,0.024166,0.003017,0.666314,0.0025,15.6,30.4,0.312
S1.2_sort,47,0.395333,0.023438,0.002924,0.667502,0.0025,15.6,30.4,0.312
S1.2_sort,48,0.396,0.023795,0.00285,0.66993,0.0025,15.6,30.4,0.312
S1.2_sort,49,0.396667,0.023381,0.00277,0.673506,0.0025,15.6,30.4,0.312
S1.2_sort,50,0.395333,0.028952,0.002702,0.674364,0.0025,15.6,30.4,0.312
S1.2_sort,51,0.392667,0.02792,0.002631,0.676295,0.0025,15.6,30.4,0.312
S1.2_sort,52,0.396667,0.02319,0.002564,0.679831,0.00225,15.6,30.4,0.312
S1.2_sort,53,0.400667,0.023513,0.002502,0.680906,0.00225,15.6,30.4,0.312
S1.2_sort,54,0.400667,0.025333,0.00244,0.682692,0.002,15.6,30.4,0.312
S1.2_sort,55,0.395333,0.023532,0.002388,0.684995,0.002,15.6,30.4,0.312
S1.2_sort,56,0.396,0.021019,0.002341,0.685791,0.00175,15.6,30.4,0.312
S1.2_sort,57,0.396667,0.019091,0.002298,0.688267,0.00175,15.6,30.4,0.312
S1.2_sort,58,0.396,0.021019,0.002259,0.689451,0.00175,15.6,30.4,0.312
S1.2_sort,59,0.394667,0.023627,0.00222,0.690201,0.00175,15.6,30.4,0.312
S1.2_sort,60,0.394667,0.021354,0.00218,0.691898,0.00175,15.6,30.4,0.312
S1.2_sort,61,0.393333,0.021396,0.002146,0.69384,0.0015,15.6,30.4,0.312
S1.2_sort,62,0.395333,0.022765,0.002108,0.695003,0.0015,15.6,30.4,0.312
S1.2_sort,63,0.394667,0.019844,0.00208,0.696789,0.0015,15.6,30.4,0.312
S1.2_sort,64,0.395333,0.022071,0.002051,0.696563,0.0015,15.6,30.4,0.312
S1.2_sort,65,0.395333,0.023152,0.002021,0.698939,0.00125,15.6,30.4,0.312
S1.2_sort,66,0.394,0.019821,0.001996,0.699486,0.00125,15.6,30.4,0.312
S1.2_sort,67,0.394,0.02245,0.001967,0.701284,0.00125,15.6,30.4,0.312
S1.2_sort,68,0.394,0.02294,0.001945,0.701906,0.00125,15.6,30.4,0.312
S1.2_sort,69,0.396,0.021848,0.001923,0.702658,0.00125,15.6,30.4,0.312
S1.2_sort,70,0.395333,0.021868,0.0019,0.703688,0.00125,15.6,30.4,0.312
S1.2_sort,71,0.394,0.021848,0.001876,0.704568,0.00125,15.6,30.4,0.312
S1.2_sort,72,0.395333,0.022071,0.001849,0.705919,0.00125,15.6,30.4,0.312
S1.2_sort,73,0.394667,0.019844,0.001833,0.707257,0.001125,15.6,30.4,0.312
S1.2_sort,74,0.396,0.021124,0.001808,0.707997,0.001125,15.6,30.4,0.312
S1.2_sort,75,0.393333,0.02087,0.00179,0.709488,0.001,15.6,30.4,0.312
S1.2_sort,76,0.392667,0.021124,0.001772,0.710136,0.001,15.6,30.4,0.312
S1.2_sort,77,0.395333,0.020613,0.001754,0.710793,0.000875,15.6,30.4,0.312
S1.2_sort,78,0.392667,0.018547,0.001738,0.711794,0.000875,15.6,30.4,0.312
S1.2_sort,79,0.394667,0.020827,0.001723,0.712452,0.000875,15.6,30.4,0.312
S1.2_sort,80,0.394667,0.022371,0.001709,0.713415,0.000875,15.6,30.4,0.312
S1.2_sort,81,0.394,0.021334,0.001696,0.713597,0.000875,15.6,30.4,0.312
S1.2_sort,82,0.392667,0.022151,0.001682,0.714916,0.00075,15.6,30.4,0.312
S1.2_sort,83,0.394,0.020265,0.001667,0.715662,0.00075,15.6,30.4,0.312
S1.2_sort,84,0.395333,0.021458,0.001657,0.715875,0.00075,15.6,30.4,0.312
S1.2_sort,85,0.394667,0.023907,0.001642,0.716624,0.00075,15.6,30.4,0.312
S1.2_sort,86,0.393333,0.021082,0.001633,0.717348,0.000625,15.6,30.4,0.312
S1.2_sort,87,0.394,0.020912,0.001621,0.717969,0.000625,15.6,30.4,0.312
S1.2_sort,88,0.393333,0.021807,0.001609,0.718351,0.000625,15.6,30.4,0.312
S1.2_sort,89,0.394667,0.023056,0.001599,0.718894,0.000625,15.6,30.4,0.312
S1.2_sort,90,0.393333,0.021807,0.001589,0.719451,0.000625,15.6,30.4,0.312
S1.2_sort,91,0.394,0.022051,0.001579,0.720132,0.000625,15.6,30.4,0.312
S1.2_sort,92,0.392667,0.021644,0.001568,0.720614,0.000625,15.6,30.4,0.312
S1.2_sort,93,0.394667,0.02197,0.00156,0.721237,0.000625,15.6,30.4,0.312
S1.2_sort,94,0.393333,0.022706,0.00155,0.721823,0.0005625,15.6,30.4,0.312
S1.2_sort,95,0.394667,0.019618,0.001541,0.722481,0.0005625,15.6,30.4,0.312
S1.2_sort,96,0.392667,0.021644,0.001531,0.723096,0.0005,15.6,30.4,0.312
S1.2_sort,97,0.392667,0.021644,0.001523,0.723542,0.0005,15.6,30.4,0.312
S1.2_sort,98,0.392667,0.022745,0.001516,0.723728,0.0004375,15.6,30.4,0.312
S1.2_sort,99,0.394667,0.023056,0.001507,0.724154,0.0004375,15.6,30.4,0.312
S1.2_sort,100,0.393333,0.023758,0.0015,0.724838,0.0004375,15.6,30.4,0.312
S1.2_sort,101,0.394,0.02444,0.001496,0.72518,0.0004375,15.6,30.4,0.312
S1.2_sort,102,0.393333,0.022706,0.001488,0.725384,0.0004375,15.6,30.4,0.312
S1.2_sort,103,0.396,0.020806,0.001481,0.725908,0.000375,15.6,30.4,0.312
S1.2_sort,104,0.395333,0.024093,0.001475,0.726162,0.000375,15.6,30.4,0.312
S1.2_sort,105,0.393333,0.024676,0.001471,0.72666,0.000375,15.6,30.4,0.312
S1.2_sort,106,0.396,0.021643,0.001464,0.726954,0.000375,15.6,30.4,0.312
S1.2_sort,107,0.394,0.02294,0.001459,0.727277,0.0003125,15.6,30.4,0.312
S1.2_sort,108,0.396,0.021643,0.001453,0.727609,0.0003125,15.6,30.4,0.312
S1.2_sort,109,0.396,0.02245,0.001448,0.728009,0.0003125,15.6,30.4,0.312
S1.2_sort,110,0.396,0.02245,0.001444,0.72829,0.0003125,15.6,30.4,0.312
S1.2_sort,111,0.394667,0.023532,0.001436,0.728527,0.0003125,15.6,30.4,0.312
S1.2_sort,112,0.394,0.023981,0.001434,0.728857,0.0003125,15.6,30.4,0.312
S1.2_sort,113,0.395333,0.022171,0.001429,0.729124,0.0003125,15.6,30.4,0.312
S1.2_sort,114,0.396,0.022843,0.001424,0.729415,0.0003125,15.6,30.4,0.312
S1.2_sort,115,0.396667,0.021909,0.00142,0.729667,0.00028125,15.6,30.4,0.312
S1.2_sort,116,0.396667,0.021909,0.001414,0.730052,0.00028125,15.6,30.4,0.312
S1.2_sort,117,0.396667,0.021909,0.001409,0.73031,0.00025,15.6,30.4,0.312
S1.2_sort,118,0.396,0.02245,0.001405,0.73056,0.00025,15.6,30.4,0.312
S1.2_sort,119,0.396667,0.023476,0.001404,0.73089,0.00021875,15.6,30.4,0.312
S1.2_sort,120,0.397333,0.022939,0.001397,0.731065,0.00021875,15.6,30.4,0.312
S1.2_sort,121,0.397333,0.022939,0.001393,0.731341,0.00021875,15.6,30.4,0.312
S1.2_sort,122,0.396667,0.021909,0.00139,0.731613,0.00021875,15.6,30.4,0.312
S1.2_sort,123,0.396667,0.021909,0.001388,0.731904,0.00021875,15.6,30.4,0.312
S1.2_sort,124,0.396667,0.021909,0.001384,0.732102,0.0001875,15.6,30.4,0.312
S1.2_sort,125,0.396,0.022843,0.001382,0.732312,0.0001875,15.6,30.4,0.312
S1.2_sort,126,0.397333,0.022939,0.001378,0.732496,0.0001875,15.6,30.4,0.312
S1.2_sort,127,0.398,0.02247,0.001376,0.732682,0.0001875,15.6,30.4,0.312
S1.2_sort,128,0.397333,0.023419,0.001373,0.732808,0.00015625,15.6,30.4,0.312
S1.2_sort,129,0.398,0.02247,0.001369,0.732965,0.00015625,15.6,30.4,0.312
S1.2_sort,130,0.398,0.02247,0.001366,0.733247,0.00015625,15.6,30.4,0.312
S1.2_sort,131,0.398,0.02247,0.001364,0.733426,0.00015625,15.6,30.4,0.312
S1.2_sort,132,0.398,0.02247,0.001362,0.733527,0.00015625,15.6,30.4,0.312
S1.2_sort,133,0.397333,0.023419,0.00136,0.733668,0.00015625,15.6,30.4,0.312
S1.2_sort,134,0.398,0.02247,0.001357,0.733882,0.00015625,15.6,30.4,0.312
S1.2_sort,135,0.398,0.02247,0.001354,0.734153,0.00015625,15.6,30.4,0.312
S1.2_sort,136,0.397333,0.022939,0.001352,0.734346,0.00014063,15.6,30.4,0.312
S1.2_sort,137,0.398,0.02247,0.001348,0.734405,0.00014063,15.6,30.4,0.312
S1.2_sort,138,0.398,0.02247,0.001347,0.734523,0.000125,15.6,30.4,0.312
S1.2_sort,139,0.398,0.02247,0.001345,0.734737,0.000125,15.6,30.4,0.312
S1.2_sort,140,0.397333,0.022939,0.001342,0.734903,0.00010938,15.6,30.4,0.312
S1.2_sort,141,0.397333,0.022939,0.00134,0.734948,0.00010938,15.6,30.4,0.312
S1.2_sort,142,0.398,0.02247,0.001338,0.735129,0.00010938,15.6,30.4,0.312
S1.2_sort,143,0.397333,0.022939,0.001336,0.735275,0.00010938,15.6,30.4,0.312
S1.2_sort,144,0.397333,0.022939,0.001335,0.735359,0.00010938,15.6,30.4,0.312
S1.2_sort,145,0.396667,0.023851,0.001334,0.735517,9.375e-05,15.6,30.4,0.312
S1.2_sort,146,0.397333,0.022939,0.001331,0.735586,9.375e-05,15.6,30.4,0.312
S1.2_sort,147,0.397333,0.022939,0.001329,0.735706,9.375e-05,15.6,30.4,0.312
S1.2_sort,148,0.397333,0.022939,0.001328,0.735836,9.375e-05,15.6,30.4,0.312
S1.2_sort,149,0.397333,0.022939,0.001327,0.735953,7.813e-05,15.6,30.4,0.312
S1.2_sort,150,0.396667,0.023851,0.001325,0.736024,7.813e-05,15.6,30.4,0.312
S1.2_sort,151,0.397333,0.022939,0.001325,0.736086,7.813e-05,15.6,30.4,0.312
S1.2_sort,152,0.397333,0.022939,0.001321,0.736201,7.813e-05,15.6,30.4,0.312
S1.2_sort,153,0.397333,0.022939,0.001321,0.736303,7.813e-05,15.6,30.4,0.312
S1.2_sort,154,0.396667,0.023851,0.00132,0.736411,7.813e-05,15.6,30.4,0.312
S1.2_sort,155,0.397333,0.022939,0.001318,0.73651,7.813e-05,15.6,30.4,0.312
S1.2_sort,156,0.397333,0.022939,0.001317,0.736621,7.813e-05,15.6,30.4,0.312
S1.2_sort,157,0.396667,0.023851,0.001314,0.736696,7.032e-05,15.6,30.4,0.312
S1.2_sort,158,0.397333,0.022939,0.001315,0.736756,7.032e-05,15.6,30.4,0.312
S1.2_sort,159,0.396667,0.023851,0.001313,0.736855,6.25e-05,15.6,30.4,0.312
S1.2_sort,160,0.398,0.02247,0.001311,0.73696,6.25e-05,15.6,30.4,0.312
S1.2_sort,161,0.397333,0.022939,0.00131,0.737056,5.469e-05,15.6,30.4,0.312
S1.2_sort,162,0.398,0.02247,0.001309,0.737144,5.469e-05,15.6,30.4,0.312
S1.2_sort,163,0.398,0.02247,0.001307,0.737181,5.469e-05,15.6,30.4,0.312
S1.2_sort,164,0.398,0.02247,0.001306,0.737298,5.469e-05,15.6,30.4,0.312
S1.2_sort,165,0.398,0.02247,0.001307,0.737328,5.469e-05,15.6,30.4,0.312
S1.2_sort,166,0.398,0.02247,0.001304,0.737399,4.687e-05,15.6,30.4,0.312
S1.2_sort,167,0.398,0.02247,0.001303,0.737454,4.687e-05,15.6,30.4,0.312
S1.2_sort,168,0.397333,0.023419,0.001304,0.737544,4.687e-05,15.6,30.4,0.312
S1.2_sort,169,0.397333,0.023419,0.001302,0.737597,4.687e-05,15.6,30.4,0.312
S1.2_sort,170,0.397333,0.023419,0.001303,0.737653,3.906e-05,15.6,30.4,0.312
S1.2_sort,171,0.397333,0.023419,0.0013,0.737699,3.906e-05,15.6,30.4,0.312
S1.2_sort,172,0.397333,0.023419,0.001301,0.737751,3.906e-05,15.6,30.4,0.312
S1.2_sort,173,0.398,0.02247,0.0013,0.737799,3.906e-05,15.6,30.4,0.312
S1.2_sort,174,0.397333,0.023419,0.001299,0.73786,3.906e-05,15.6,30.4,0.312
S1.2_sort,175,0.397333,0.023419,0.001298,0.737917,3.906e-05,15.6,30.4,0.312
S1.2_sort,176,0.397333,0.023419,0.001297,0.73799,3.906e-05,15.6,30.4,0.312
